Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
The SpongeBob SquarePants Movie,GC,2004.0,Platform,0.73,0.19,0.0,0.03,73.0,7.8,E
Star Fox 64 3D,3DS,2011.0,Shooter,0.48,0.27,0.13,0.06,81.0,8.2,E10+
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,1996.0,Misc,0.52,0.36,0.0,0.06,,,
Castlevania: Lament of Innocence,PS2,2003.0,Action,0.46,0.36,0.0,0.12,79.0,8.4,M
Rocksmith 2014,X360,2013.0,Misc,0.69,0.16,0.0,0.09,,,
Tom Clancy's Splinter Cell: Blacklist,PS3,2013.0,Action,0.34,0.39,0.06,0.15,84.0,7.7,M
Destroy All Humans!,PS2,2005.0,Shooter,0.78,0.03,0.0,0.13,,,
Skylanders: Spyro's Adventure,PS3,2011.0,Action,0.39,0.39,0.0,0.16,77.0,4.8,E10+
MVP Baseball 2005,XB,2005.0,Sports,0.7,0.2,0.0,0.03,86.0,,
SaGa Frontier 2,PS,1999.0,Role-Playing,0.1,0.07,0.71,0.06,,,
Phantasy Star Portable,PSP,2008.0,Role-Playing,0.19,0.06,0.63,0.05,64.0,7.8,T
WWE SmackDown vs. Raw 2009,PS3,2008.0,Fighting,0.51,0.3,0.01,0.12,78.0,7,T
NCAA Football 10,X360,2009.0,Sports,0.87,0.0,0.0,0.07,83.0,6.7,E
Brutal Legend,PS3,2009.0,Action,0.54,0.27,0.0,0.13,83.0,7.6,M
Tony Hawk: RIDE,Wii,2009.0,Sports,0.69,0.17,0.0,0.08,47.0,4.5,E10+
MLB 2000,PS,1999.0,Sports,0.52,0.35,0.0,0.06,,,
Bully,PS2,2006.0,Action,0.75,0.03,0.04,0.12,87.0,9.1,T
Rise of the Tomb Raider,PS4,2016.0,Adventure,0.23,0.53,0.04,0.14,,,
Prince of Persia: The Sands of Time,XB,2003.0,Action,0.57,0.33,0.0,0.04,92.0,7.8,T
Hot Shots Golf Fore!,PS2,2003.0,Sports,0.46,0.36,0.0,0.12,,,
MLB 06: The Show,PS2,2006.0,Sports,0.78,0.03,0.0,0.13,83.0,8.9,E
NHL 2003,PS2,2002.0,Sports,0.46,0.36,0.0,0.12,79.0,6.8,E
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,0.32,0.32,0.15,0.15,77.0,7.9,T
EA Sports UFC 2,PS4,2016.0,Sports,0.29,0.49,0.0,0.15,79.0,6.2,T
The Sims 2,DS,2005.0,Simulation,0.81,0.05,0.0,0.07,70.0,6.1,E10+
Bentley's Hackpack,GBA,2005.0,Misc,0.67,0.25,0.0,0.02,,,
Tony Hawk's Pro Skater 4,XB,2002.0,Sports,0.59,0.3,0.0,0.04,90.0,8.5,T
Dragon Age: Inquisition,XOne,2014.0,Role-Playing,0.56,0.28,0.0,0.09,85.0,6.9,M
White Knight Chronicles: International Edition,PS3,2008.0,Role-Playing,0.33,0.16,0.36,0.08,64.0,7.5,T
SingStar Abba,PS3,2008.0,Misc,0.27,0.5,0.0,0.16,70.0,5.5,T
Crash City Mayhem,GBA,2004.0,Racing,0.67,0.25,0.0,0.02,,,
Spider-Man,2600,1981.0,Action,0.87,0.05,0.0,0.01,,,
Kirby: Planet Robobot,3DS,2016.0,Action,0.28,0.14,0.47,0.04,81.0,8.7,E
Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999.0,Platform,0.71,0.2,0.0,0.01,,,
Castlevania II: Simon's Quest,NES,1987.0,Platform,0.45,0.06,0.42,0.0,,,
Mega Man 4,NES,1991.0,Platform,0.51,0.09,0.32,0.01,,,
Guitar Hero: Metallica,Wii,2009.0,Misc,0.4,0.43,0.0,0.1,85.0,8.6,T
Teenage Mutant Ninja Turtles,GBA,2003.0,Action,0.67,0.25,0.0,0.02,71.0,8.8,E
Bayonetta,X360,2009.0,Action,0.51,0.25,0.09,0.08,90.0,8,M
MLB 07: The Show,PS2,2007.0,Sports,0.77,0.03,0.0,0.13,83.0,8.6,E
Cars,GC,2006.0,Racing,0.72,0.19,0.0,0.03,71.0,7,E
Build-A-Bear Workshop,DS,2007.0,Simulation,0.85,0.01,0.0,0.07,61.0,4.8,E
Kingdom Hearts Re:coded,DS,2010.0,Role-Playing,0.53,0.09,0.27,0.05,66.0,7,E10+
Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,0.36,0.45,0.02,0.1,77.0,7.8,M
Inazuma Eleven 3,DS,2010.0,Role-Playing,0.0,0.0,0.93,0.0,,,
Lego Batman 3: Beyond Gotham,PS4,2014.0,Action,0.37,0.4,0.0,0.15,73.0,7.1,E10+
Wipeout: In The Zone,X360,2011.0,Misc,0.87,0.0,0.0,0.06,39.0,5.6,E10+
SnoCross Championship Racing,PS,1999.0,Racing,0.52,0.35,0.0,0.06,66.0,tbd,E
Brothers in Arms: Hell's Highway,PS3,2008.0,Shooter,0.44,0.34,0.0,0.15,76.0,8,M
The LEGO Movie Videogame,PS3,2014.0,Action,0.33,0.43,0.02,0.15,80.0,6.8,E10+
Assassin's Creed III,PC,2012.0,Action,0.28,0.53,0.0,0.12,80.0,6.2,M
Borderlands 2,PC,2012.0,Shooter,0.42,0.41,0.0,0.1,89.0,8.2,M
Teenage Mutant Ninja Turtles,PS2,2003.0,Action,0.45,0.35,0.0,0.12,59.0,8.7,E
Disney Magical World,3DS,2013.0,Adventure,0.17,0.2,0.53,0.03,71.0,7.5,E
Top Gun: Combat Zones,PS2,2001.0,Simulation,0.45,0.35,0.0,0.12,63.0,3.3,E
NCAA Football 11,X360,2010.0,Sports,0.86,0.0,0.0,0.06,86.0,7.1,E
007: The World is not Enough,PS,2000.0,Action,0.51,0.35,0.0,0.06,61.0,6.7,T
Cars,Wii,2006.0,Racing,0.83,0.03,0.0,0.07,65.0,tbd,E
Monster High: Ghoul Spirit,DS,2011.0,Misc,0.69,0.16,0.0,0.07,,tbd,E
Phoenix Wright: Ace Attorney,DS,2005.0,Adventure,0.44,0.05,0.39,0.05,81.0,9.2,T
MLB 15: The Show,PS4,2015.0,Sports,0.68,0.08,0.0,0.17,80.0,7.8,E
South Park: The Stick of Truth,PS3,2014.0,Role-Playing,0.43,0.34,0.0,0.16,85.0,8.5,M
South Park: The Stick of Truth,X360,2014.0,Role-Playing,0.58,0.26,0.0,0.09,82.0,8.4,M
NHL 98,PS,1997.0,Sports,0.51,0.35,0.0,0.06,,,
Space Jam,PS,1996.0,Sports,0.51,0.35,0.0,0.06,,,
Balloon Fight,NES,1985.0,Platform,0.39,0.09,0.43,0.01,,,
Knockout Kings 2000,N64,1999.0,Fighting,0.63,0.27,0.0,0.02,,,
MLB 12: The Show,PS3,2012.0,Sports,0.86,0.0,0.0,0.06,87.0,7.5,E
SpongeBob SquarePants: The Yellow Avenger,PSP,2006.0,Action,0.55,0.21,0.0,0.16,48.0,6.4,E
Dante's Inferno,X360,2010.0,Action,0.63,0.2,0.02,0.07,73.0,7.7,M
Wii Play: Motion,Wii,2011.0,Misc,0.23,0.42,0.18,0.09,60.0,6.1,E10+
WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,0.58,0.26,0.0,0.08,79.0,7.1,T
Sonic Riders,GC,2006.0,Racing,0.71,0.18,0.0,0.03,59.0,8,E
Starsky & Hutch,PS2,2003.0,Racing,0.45,0.35,0.0,0.12,,,
Tobal No.1,PS,1996.0,Fighting,0.12,0.08,0.66,0.06,,,
Blue Dragon,X360,2006.0,Role-Playing,0.3,0.32,0.21,0.08,79.0,7.8,T
Buzz! Quiz World,PS3,2009.0,Misc,0.16,0.57,0.0,0.19,,,
Harvest Moon 3D: A New Beginning,3DS,2012.0,Action,0.41,0.17,0.3,0.05,74.0,8.2,E
Kung Fu Panda,Wii,2008.0,Action,0.5,0.32,0.0,0.09,70.0,6.7,E10+
Street Hoops,PS2,2002.0,Sports,0.45,0.35,0.0,0.12,,,
EA Sports Grand Slam Tennis,Wii,2009.0,Sports,0.28,0.51,0.02,0.11,,,
EA Sports Active 2,PS3,2010.0,Sports,0.52,0.27,0.0,0.12,78.0,5.4,E
Nickelodeon Fit,Wii,2010.0,Sports,0.76,0.09,0.0,0.06,,tbd,E
Knockout Kings 2002,PS2,2002.0,Sports,0.45,0.35,0.0,0.12,76.0,8.1,T
Injustice: Gods Among Us,PS4,2013.0,Fighting,0.46,0.3,0.0,0.16,,,
Tom Clancy's EndWar,X360,2008.0,Strategy,0.58,0.24,0.01,0.09,77.0,7.2,T
LEGO Harry Potter: Years 5-7,PS3,,Action,0.36,0.41,0.0,0.15,76.0,8.3,E10+
Tokyo Xtreme Racer 3,PS2,2003.0,Racing,0.35,0.27,0.21,0.09,63.0,8.9,E
Xenoblade Chronicles,Wii,2010.0,Role-Playing,0.43,0.25,0.16,0.07,92.0,8.9,T
Assassin's Creed,PC,2008.0,Adventure,0.01,0.83,0.0,0.07,,,
Glover,N64,1998.0,Platform,0.72,0.17,0.0,0.01,,,
Colin McRae Rally 2.0,PS,2000.0,Racing,0.02,0.8,0.02,0.07,90.0,8.7,E
Dynasty Warriors 7,PS3,2011.0,Action,0.25,0.13,0.46,0.06,57.0,7.4,T
NBA 2K14,XOne,2013.0,Sports,0.7,0.11,0.0,0.09,86.0,5.7,E
Namco Museum,XB,,Misc,0.77,0.11,0.0,0.04,59.0,tbd,E
SSX,PS3,2012.0,Sports,0.35,0.41,0.02,0.14,81.0,6.8,E
Sonic Riders: Zero Gravity,Wii,2008.0,Racing,0.48,0.32,0.02,0.09,56.0,8.1,E
AMF Bowling Pinbusters!,Wii,2007.0,Sports,0.84,0.0,0.0,0.07,,,
Super Momotarou Dentetsu III,SNES,1994.0,Simulation,0.0,0.0,0.91,0.0,,,
Sonic Mega Collection Plus,XB,2004.0,Misc,0.61,0.26,0.0,0.04,75.0,7.9,E
Operation Flashpoint: Dragon Rising,PS3,2009.0,Shooter,0.23,0.46,0.05,0.17,76.0,6.5,M
Tiger Woods PGA Tour 2002,PS2,2002.0,Sports,0.44,0.35,0.0,0.12,80.0,7.6,E
Lost Odyssey,X360,2007.0,Role-Playing,0.45,0.26,0.11,0.08,78.0,8.3,T
Street Fighter V,PS4,2016.0,Fighting,0.4,0.28,0.08,0.14,77.0,3.4,T
Just Cause 3,XOne,2015.0,Action,0.44,0.39,0.0,0.08,71.0,7,M
Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996.0,Racing,0.0,0.0,0.9,0.0,,,
MLB 2005,PS2,2004.0,Sports,0.44,0.35,0.0,0.12,78.0,7.6,E
Marvel: Ultimate Alliance 2,X360,2009.0,Role-Playing,0.68,0.15,0.0,0.08,73.0,7.3,T
Burnout Revenge,PS2,2005.0,Racing,0.75,0.03,0.0,0.12,90.0,8.8,E10+
Crysis 3,X360,2013.0,Shooter,0.51,0.31,0.01,0.08,76.0,6.7,M
Far Cry 4,X360,2014.0,Shooter,0.45,0.37,0.0,0.08,,7,M
The Witcher 2: Assassins of Kings,X360,2012.0,Action,0.48,0.32,0.02,0.08,88.0,8.3,M
Homefront,PS3,2011.0,Shooter,0.32,0.39,0.04,0.15,70.0,5.7,M
Destruction Derby,PS,1995.0,Racing,0.5,0.34,0.0,0.06,,,
LEGO Jurassic World,PS4,2015.0,Action,0.32,0.42,0.02,0.14,70.0,7,E10+
Avatar: The Game,PS3,2009.0,Action,0.32,0.42,0.0,0.16,,,
The Elder Scrolls Online,PC,2014.0,Role-Playing,0.32,0.51,0.0,0.07,71.0,5.7,M
3Xtreme,PS,1999.0,Action,0.5,0.34,0.0,0.06,,,
Hot Shots Tennis,PS2,2006.0,Sports,0.17,0.13,0.55,0.05,70.0,8.1,E
MX vs. ATV Reflex,PS3,2009.0,Racing,0.52,0.25,0.0,0.12,74.0,7.4,E
Madden NFL 25,PS4,2013.0,Sports,0.63,0.13,0.0,0.15,74.0,5.2,E
Sonic Heroes,XB,2003.0,Platform,0.41,0.43,0.01,0.05,73.0,7.6,E
Madden NFL 99,N64,1998.0,Sports,0.84,0.05,0.0,0.01,,,
Spider-Man 3,PS2,2007.0,Platform,0.74,0.03,0.01,0.12,50.0,6.5,T
James Bond 007: Agent Under Fire,XB,2002.0,Shooter,0.65,0.22,0.0,0.03,71.0,7.5,T
LEGO Pirates of the Caribbean: The Video Game,DS,2011.0,Action,0.34,0.46,0.0,0.1,69.0,tbd,E10+
LEGO Marvel Super Heroes,3DS,2013.0,Action,0.42,0.36,0.04,0.07,61.0,5.2,E10+
DJ Hero,PS3,2009.0,Misc,0.42,0.34,0.0,0.14,86.0,7.8,T
Skylanders: Trap Team,X360,2014.0,Action,0.54,0.27,0.0,0.08,,tbd,E10+
X-Men Legends,XB,2004.0,Role-Playing,0.62,0.24,0.0,0.04,82.0,8.5,T
NBA Live 2005,XB,2004.0,Sports,0.81,0.05,0.0,0.04,85.0,7.6,E
Harry Potter: Quidditch World Cup,PS2,2003.0,Sports,0.44,0.34,0.0,0.11,68.0,6.6,E
LEGO The Lord of the Rings,Wii,2012.0,Action,0.48,0.34,0.0,0.07,,7.2,E10+
Madagascar,GBA,2005.0,Platform,0.62,0.24,0.0,0.03,71.0,tbd,E
Blitz: The League,PS2,2005.0,Sports,0.74,0.03,0.0,0.12,76.0,8,M
The Biggest Loser: Ultimate Workout,X360,2010.0,Sports,0.73,0.1,0.0,0.06,68.0,tbd,E
Castlevania: Circle of the Moon,GBA,2001.0,Platform,0.6,0.22,0.05,0.02,91.0,8.5,T
SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Shooter,0.66,0.11,0.04,0.08,67.0,6.3,M
Tiger Woods PGA Tour 06,PS2,2005.0,Sports,0.74,0.03,0.0,0.12,83.0,6.2,E
FIFA Street,X360,2012.0,Sports,0.17,0.62,0.0,0.1,77.0,6.7,E
Classic NES Series: The Legend of Zelda,GBA,2004.0,Adventure,0.46,0.17,0.24,0.02,84.0,8.6,E
Fire Emblem: The Sacred Stones,GBA,2004.0,Strategy,0.42,0.16,0.3,0.02,85.0,9.1,E
Cars 2,Wii,2011.0,Racing,0.43,0.37,0.0,0.09,,,
TouchMaster 2,DS,2008.0,Puzzle,0.3,0.49,0.0,0.1,76.0,tbd,E
Pokemon Card GB2: Here Comes Team GR!,GB,2001.0,Strategy,0.0,0.0,0.89,0.0,,,
MLB 16: The Show,PS4,2016.0,Action,0.72,0.0,0.0,0.17,,,
Killzone: Liberation,PSP,2006.0,Shooter,0.44,0.27,0.0,0.18,77.0,8.3,T
Finding Nemo,GC,2003.0,Action,0.69,0.18,0.0,0.02,62.0,5.5,E
Lego Batman 3: Beyond Gotham,X360,2014.0,Action,0.48,0.33,0.0,0.08,,6.8,E10+
Ace Combat 2,PS,1997.0,Simulation,0.16,0.11,0.56,0.06,83.0,8.2,T
NFL 2K2,PS2,2001.0,Sports,0.44,0.34,0.0,0.11,85.0,7.5,E
Pure,PS3,2008.0,Racing,0.42,0.33,0.0,0.14,83.0,7.8,E
We Ski & Snowboard,Wii,2008.0,Sports,0.38,0.29,0.15,0.08,,,
Resistance: Retribution,PSP,2009.0,Shooter,0.27,0.35,0.05,0.21,81.0,8.1,M
Call of Duty: World at War,DS,2008.0,Shooter,0.56,0.25,0.0,0.08,75.0,7.8,T
Tiger Woods PGA Tour 12: The Masters,PS3,2011.0,Sports,0.52,0.25,0.0,0.11,80.0,7.3,E
CSI: Hard Evidence,Wii,2008.0,Adventure,0.36,0.43,0.0,0.1,,,
MLB 2001,PS,2000.0,Sports,0.49,0.34,0.0,0.06,,,
The Jak and Daxter Collection,PS3,2012.0,Platform,0.6,0.18,0.0,0.11,,,
FIFA Soccer 09 All-Play,Wii,2008.0,Sports,0.28,0.51,0.0,0.09,80.0,8.4,E
SingStar Anthems,PS2,2006.0,Misc,0.0,0.68,0.0,0.2,,,
LEGO Indiana Jones 2: The Adventure Continues,PS3,2009.0,Action,0.47,0.29,0.0,0.13,70.0,7.1,E10+
Seiken Densetsu 3,SNES,1995.0,Role-Playing,0.0,0.0,0.89,0.0,,,
Fossil Fighters,DS,2008.0,Role-Playing,0.83,0.0,0.0,0.06,70.0,7.9,E
Buzz! Quiz TV,PS3,2008.0,Misc,0.28,0.47,0.0,0.13,,,
NCAA Football 13,PS3,2012.0,Action,0.82,0.0,0.0,0.07,79.0,4.1,E
Samba De Amigo,Wii,2008.0,Misc,0.41,0.37,0.01,0.09,68.0,8.1,E
Mega Man 8 Anniversary Collector's Edition,PS,1996.0,Platform,0.44,0.3,0.09,0.06,,,
The Simpsons Game,PS3,2007.0,Action,0.38,0.36,0.0,0.15,71.0,7.5,T
Call of Duty: Modern Warfare 2,PC,2009.0,Shooter,0.01,0.79,0.0,0.09,86.0,4.2,M
The Tomb Raider Trilogy,PS3,2011.0,Action,0.27,0.46,0.0,0.15,78.0,8.1,T
F1 2010,X360,2010.0,Racing,0.18,0.59,0.01,0.1,84.0,7.5,E
Call of Juarez: Bound in Blood,PS3,2009.0,Shooter,0.35,0.37,0.01,0.15,78.0,7.8,M
Minecraft: Story Mode,X360,2015.0,Adventure,0.48,0.33,0.0,0.08,,,
Rhythm Heaven,Wii,,Misc,0.11,0.0,0.77,0.01,,,
NBA 2K6,PS2,2005.0,Action,0.43,0.34,0.0,0.11,84.0,8.3,E
Dissidia 012: Duodecim Final Fantasy,PSP,2011.0,Fighting,0.21,0.12,0.46,0.08,78.0,8.3,T
Buzz! The Mega Quiz,PS2,2007.0,Misc,0.32,0.06,0.0,0.5,,,
Star Wars: Rebel Assault II - The Hidden Empire,PS,1996.0,Shooter,0.49,0.33,0.0,0.06,,,
Monster 4X4: World Circuit,Wii,2006.0,Racing,0.8,0.0,0.01,0.07,51.0,7.8,E
Far Cry: Primal,XOne,2016.0,Action,0.47,0.33,0.0,0.08,77.0,6.4,M
Resident Evil: Revelations,3DS,2012.0,Action,0.3,0.22,0.3,0.05,82.0,8.5,M
Sonic Chronicles: The Dark Brotherhood,DS,2008.0,Role-Playing,0.5,0.29,0.01,0.08,74.0,7.3,E
Star Wars: The Force Unleashed,DS,2008.0,Action,0.5,0.28,0.0,0.09,61.0,5.5,T
Grand Theft Auto IV,PC,2008.0,Action,0.01,0.79,0.0,0.07,90.0,6.6,M
Rock Band 3,X360,2010.0,Misc,0.73,0.09,0.0,0.06,93.0,8.2,T
WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,0.44,0.35,0.0,0.08,75.0,7.6,T
ESPN NHL 2K5,PS2,2004.0,Sports,0.43,0.33,0.0,0.11,86.0,8.1,E
Borderlands: The Handsome Collection,PS4,2015.0,Shooter,0.38,0.33,0.03,0.14,82.0,7.8,M
Crimson Skies: High Road to Revenge,XB,2003.0,Simulation,0.65,0.19,0.0,0.03,88.0,8.8,T
Madden NFL 08,Wii,2007.0,Sports,0.8,0.0,0.0,0.07,76.0,6.8,E
Spec Ops: Ranger Elite,PS,2001.0,Shooter,0.49,0.33,0.0,0.06,48.0,6.6,T
Gex,PS,1995.0,Platform,0.49,0.33,0.0,0.06,,,
F1 2009,Wii,2009.0,Racing,0.15,0.62,0.0,0.11,69.0,7.2,E
Derby Stallion II,SNES,1994.0,Sports,0.0,0.0,0.87,0.0,,,
Tom Clancy's Ghost Recon: Island Thunder,XB,2003.0,Shooter,0.61,0.24,0.0,0.03,81.0,8.8,M
Sleeping Dogs,X360,2012.0,Action,0.38,0.4,0.01,0.08,80.0,7.9,M
Kingdoms of Amalur: Reckoning,X360,2012.0,Role-Playing,0.55,0.24,0.01,0.07,80.0,7.7,M
Metal Gear Ac!d,PSP,2004.0,Strategy,0.32,0.26,0.12,0.17,,,
Need for Speed: V-Rally,PS,1997.0,Racing,0.43,0.29,0.09,0.06,,,
Monster Strike 3DS,3DS,2015.0,Action,0.0,0.0,0.87,0.0,,,
Kingdom Hearts Re: Chain of Memories,PS2,2008.0,Role-Playing,0.73,0.03,0.0,0.12,68.0,7.2,E10+
Phantasy Star Portable 2,PSP,2009.0,Role-Playing,0.08,0.11,0.62,0.06,69.0,8.1,T
Peppa Pig: The Game,DS,2008.0,Misc,0.0,0.81,0.0,0.06,,,
Michael Jackson: The Experience,X360,2011.0,Misc,0.62,0.18,0.0,0.07,63.0,6.8,E10+
NFL GameDay '97,PS,1996.0,Sports,0.48,0.33,0.0,0.06,,,
LittleBigPlanet Karting,PS3,2012.0,Action,0.42,0.3,0.01,0.15,73.0,6.9,E
Tony Hawk's Project 8,PS2,2006.0,Sports,0.72,0.03,0.0,0.12,69.0,7.3,T
NHL 2000,PS,1998.0,Sports,0.48,0.33,0.0,0.06,,,
GRID,X360,2008.0,Racing,0.33,0.44,0.01,0.09,87.0,7.9,E
DiRT,X360,2007.0,Racing,0.38,0.4,0.0,0.09,83.0,7.4,E
Buzz! Master Quiz,PSP,2008.0,Misc,0.2,0.44,0.0,0.23,,,
Red Faction: Guerrilla,X360,2009.0,Shooter,0.48,0.29,0.01,0.09,85.0,8.1,M
Fight Night Round 2,PS2,2005.0,Fighting,0.72,0.03,0.0,0.12,88.0,9,T
Conflict: Desert Storm,XB,2002.0,Shooter,0.48,0.37,0.0,0.02,65.0,8.1,T
LEGO Jurassic World,X360,2015.0,Action,0.47,0.32,0.0,0.08,,7.1,E10+
Triple Play 2002,PS2,2002.0,Sports,0.43,0.33,0.0,0.11,65.0,tbd,E
Cooking Mama: World Kitchen,Wii,2008.0,Simulation,0.51,0.27,0.01,0.08,62.0,4.9,E
Brothers in Arms: Hell's Highway,X360,2008.0,Shooter,0.47,0.3,0.0,0.09,76.0,8.3,M
Vagrant Story,PS,2000.0,Role-Playing,0.3,0.2,0.3,0.06,92.0,8.3,T
Warriors Orochi,PS2,2007.0,Action,0.11,0.09,0.64,0.03,55.0,8.2,T
Enduro,2600,1982.0,Misc,0.81,0.05,0.0,0.01,,,
Crysis 3,PS3,2013.0,Shooter,0.26,0.42,0.03,0.16,77.0,6.3,M
Mercenaries 2: World in Flames,PS3,2008.0,Shooter,0.29,0.39,0.02,0.16,72.0,7.1,T
SingStar '90s,PS2,2007.0,Misc,0.1,0.59,0.0,0.18,73.0,tbd,T
Wizards of Waverly Place,DS,2009.0,Misc,0.59,0.2,0.0,0.08,58.0,tbd,E
Ghostbusters: The Video Game,Wii,2009.0,Action,0.59,0.2,0.0,0.07,76.0,8.5,E10+
Dragon Quest VIII: Journey of the Cursed King,3DS,2015.0,Role-Playing,0.0,0.0,0.86,0.0,,,T
Beijing 2008,PS3,2008.0,Sports,0.14,0.54,0.01,0.18,,,
Guitar Hero Live,PS4,2015.0,Misc,0.34,0.38,0.0,0.14,80.0,6.2,T
Endless Ocean: Blue World,Wii,2009.0,Simulation,0.46,0.21,0.12,0.06,76.0,8.5,E10+
Winning Eleven: Pro Evolution Soccer 2007,PSP,2006.0,Sports,0.01,0.72,0.12,0.01,81.0,8.3,E
Rocky,PS2,2002.0,Fighting,0.42,0.33,0.0,0.11,74.0,8.4,T
Ford Racing,PS,2001.0,Racing,0.48,0.33,0.0,0.06,53.0,5.8,E
Madden Football 64,N64,1997.0,Sports,0.81,0.04,0.0,0.01,,,
Guitar Hero: Warriors of Rock,X360,2010.0,Misc,0.47,0.31,0.0,0.08,72.0,6.5,T
MLB 99,PS,1998.0,Sports,0.48,0.32,0.0,0.06,,,
Lemmings,PSP,2006.0,Puzzle,0.12,0.51,0.0,0.23,76.0,7.9,E
Dynasty Warriors 4: Xtreme Legends,PS2,2003.0,Action,0.17,0.13,0.51,0.04,72.0,9.1,T
Pictionary,Wii,2010.0,Puzzle,0.6,0.19,0.0,0.07,71.0,tbd,E
Army Men: Air Attack,PS,1999.0,Action,0.47,0.32,0.0,0.06,,,
FIFA Soccer 08,DS,2007.0,Sports,0.1,0.65,0.0,0.11,,,
2010 FIFA World Cup South Africa,X360,2010.0,Sports,0.32,0.42,0.02,0.09,83.0,8.1,E
Tomb Raider: Anniversary,Wii,2007.0,Action,0.12,0.62,0.0,0.11,73.0,7.3,T
NBA 2K8,X360,2007.0,Sports,0.79,0.0,0.0,0.07,81.0,7,E
Street Fighter Alpha 2,PS,1996.0,Fighting,0.14,0.09,0.57,0.06,,,
Tiger Woods PGA Tour 2005,XB,2004.0,Sports,0.64,0.18,0.0,0.03,88.0,8.9,E
Castlevania III: Dracula's Curse,NES,1989.0,Platform,0.4,0.07,0.37,0.01,,,
LEGO Jurassic World,PS3,2015.0,Action,0.35,0.36,0.0,0.14,,7.4,E10+
Kingdoms of Amalur: Reckoning,PS3,2012.0,Role-Playing,0.37,0.29,0.09,0.11,81.0,7.6,M
Rampage World Tour,PS,1997.0,Action,0.47,0.32,0.0,0.06,,,
Dragon Ball Z: Burst Limit,PS3,2008.0,Fighting,0.22,0.33,0.18,0.12,71.0,7.2,T
Gold's Gym: Dance Workout,Wii,2010.0,Sports,0.69,0.1,0.0,0.06,,tbd,E10+
Tekken Tag Tournament 2,PS3,2012.0,Fighting,0.28,0.31,0.13,0.13,82.0,8.2,T
Ninja Gaiden Sigma 2,PS3,2009.0,Action,0.52,0.16,0.08,0.1,83.0,7.7,M
Ratatouille,PS2,2007.0,Action,0.31,0.0,0.0,0.53,65.0,8,E
NFL GameDay,PS,1995.0,Sports,0.47,0.32,0.0,0.06,,,
Burnout 2: Point of Impact,PS2,2002.0,Racing,0.42,0.32,0.0,0.11,86.0,8.2,E
Wii Fit U,WiiU,2013.0,Sports,0.35,0.23,0.21,0.05,72.0,7.7,E
Street Fighter EX3,PS2,2000.0,Fighting,0.32,0.25,0.2,0.08,64.0,7.9,T
The Legendary Starfy,DS,2008.0,Platform,0.6,0.0,0.2,0.05,75.0,8.4,E
NCAA Football 11,PS3,2010.0,Sports,0.79,0.0,0.0,0.06,85.0,7.4,E
The House of the Dead: Overkill,Wii,2009.0,Shooter,0.44,0.3,0.02,0.09,78.0,8.7,M
Army of Two: The 40th Day,PS3,2010.0,Shooter,0.44,0.27,0.01,0.12,74.0,7,M
Darksiders II,PS3,2012.0,Action,0.35,0.35,0.01,0.14,84.0,7.1,M
Spider-Man 2,GC,2004.0,Action,0.65,0.17,0.0,0.02,80.0,8.8,T
The Lord of the Rings: War in the North,X360,,Action,0.52,0.24,0.0,0.08,61.0,7.4,M
 Tales of Xillia 2,PS3,2012.0,Role-Playing,0.2,0.12,0.45,0.07,71.0,7.9,T
Ghostbusters: The Video Game,PS3,2009.0,Action,0.34,0.36,0.0,0.14,78.0,7.9,T
The Incredibles,GC,2004.0,Action,0.65,0.17,0.0,0.02,63.0,7.1,T
Xenoblade Chronicles X,WiiU,2015.0,Role-Playing,0.36,0.28,0.14,0.06,84.0,8.9,T
NBA 2K10,PS3,2009.0,Sports,0.75,0.01,0.01,0.07,83.0,7.8,E
Petz Dogz Fashion,DS,2008.0,Simulation,0.46,0.3,0.0,0.09,,tbd,E
ATV Quad Power Racing 2,PS2,2003.0,Racing,0.41,0.32,0.0,0.11,68.0,tbd,E
Final Fantasy,NES,1987.0,Role-Playing,0.32,0.0,0.52,0.0,,,
Skate 2,PS3,2009.0,Sports,0.46,0.25,0.01,0.12,84.0,7.8,T
Rocket Power: Team Rocket Rescue,PS,2001.0,Sports,0.47,0.32,0.0,0.05,,,
Big Mutha Truckers,PS2,2002.0,Racing,0.41,0.32,0.0,0.11,62.0,5.3,T
The Evil Within,PS3,2014.0,Action,0.26,0.34,0.13,0.12,,7.6,M
Rogue Galaxy,PS2,2005.0,Role-Playing,0.24,0.16,0.39,0.05,83.0,8.4,T
ESPN College Hoops 2K5,PS2,2004.0,Sports,0.41,0.32,0.0,0.11,86.0,8.1,E
NCAA Football 14,PS3,2013.0,Sports,0.75,0.0,0.0,0.09,77.0,6.2,E
Harry Potter and the Order of the Phoenix,DS,2007.0,Action,0.28,0.46,0.0,0.1,51.0,4.9,E
